Agg_ASST,simp_ASS,LARC,AUTO,DATE,O3,PM25,PRCP,TMAX,UV,holi,fri,sat,sun,Chicago,NY,LA,Phil,Phoen,Atl,SanFran,Houston,Boston,Indianapolis?
14,82,72,20,2003-01-01,0.017,18.7,0,53,1.92,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,26,53,23,2003-01-02,0.003,18.5,0,55,2.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,26,65,10,2003-01-03,0.006,16.7,0,56,1.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,31,53,21,2003-01-04,0.009,16.5,0,59,1.88,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,30,54,27,2003-01-05,0.015,21.2,0,59,1.97,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,32,67,23,2003-01-06,0.014,8.6,0,66,2.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,39,50,19,2003-01-07,0.007,32.2,0,65,1.98,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,31,75,22,2003-01-08,0.004,36.9,0,55,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,27,63,19,2003-01-09,0.013,33,0.89,54,1.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,35,71,21,2003-01-10,0.025,4.4,0.2,61,1.51,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,25,51,21,2003-01-11,0.004,13.4,0,57,1.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,15,66,18,2003-01-12,0.022,9.7,0.09,62,2.07,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,34,62,21,2003-01-13,0.016,9.7,0,60,2.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,34,66,17,2003-01-14,0.007,7.8,0,58,2.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,26,66,19,2003-01-15,0.007,9.5,0,60,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,26,65,26,2003-01-16,0.006,14,0,62,2.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,32,76,21,2003-01-17,0.005,28.3,0,59,2.14,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,27,77,20,2003-01-18,0.007,35.8,0,55,2.08,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,27,58,28,2003-01-19,0.007,36.8,0.01,52,1.79,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,25,67,21,2003-01-20,0.002,41.6,0.05,51,1.88,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,23,81,17,2003-01-21,0.001,23.8,0.08,56,1.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,24,78,21,2003-01-22,0.01,12.4,0.08,62,2.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,34,64,19,2003-01-23,,,0.03,59,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,37,88,24,2003-01-24,,,0,57,2.24,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,32,90,21,2003-01-25,0.011,15.9,0,63,2.59,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,39,51,22,2003-01-26,0.01,20.8,0,60,2.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,24,73,17,2003-01-27,,17.6,0,63,2.38,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,31,77,21,2003-01-28,0.012,9.4,0,62,2.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,25,98,27,2003-01-29,0.007,15.3,0,62,2.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,28,69,20,2003-01-30,0.007,,0,60,2.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,36,75,8,2003-01-31,0.006,32.7,0,60,2.81,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,36,75,16,2003-02-01,0.031,5.2,0,59,2.34,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,28,45,19,2003-02-02,0.027,6.8,0,60,2.15,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,30,54,18,2003-02-03,0.017,,0,61,2.44,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,35,64,15,2003-02-04,0.027,9.2,0,62,2.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,26,71,13,2003-02-05,0.021,3.5,0,60,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,23,73,32,2003-02-06,0.02,7.9,0,57,2.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,39,86,19,2003-02-07,0.022,7.1,0,58,1.73,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,24,79,26,2003-02-08,0.018,14.4,0,57,1.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,29,71,27,2003-02-09,0.024,,0,58,2.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,33,70,30,2003-02-10,0.017,,0,59,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,24,74,23,2003-02-11,0.007,,0.01,58,1.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,30,75,21,2003-02-12,0.008,28.5,0.43,54,1.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,43,75,29,2003-02-13,0.029,17.4,0.24,61,1.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,36,76,15,2003-02-14,0.03,3.7,0,57,2.66,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,33,67,20,2003-02-15,0.034,3.3,0.91,59,2.59,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,35,86,18,2003-02-16,0.036,3.5,0.15,59,2.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,16,71,27,2003-02-17,0.026,6.3,0,58,2.15,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,28,77,26,2003-02-18,0.026,7.3,0,59,2.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,41,81,27,2003-02-19,0.034,3.6,0.05,56,2.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,33,74,20,2003-02-20,0.019,7.5,0,61,3.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,27,79,22,2003-02-21,0.018,,0,63,3.54,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,29,83,18,2003-02-22,0.018,10.1,0,65,3.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,32,75,23,2003-02-23,0.023,12.1,0,60,2.77,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,41,71,18,2003-02-24,,17.5,0.43,58,2.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,44,82,18,2003-02-25,0.029,7.7,0.02,59,1.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,33,86,26,2003-02-26,0.032,6,0.2,55,2.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,29,94,24,2003-02-27,0.028,5.6,0.01,59,2.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,30,83,29,2003-02-28,0.031,7.9,0,59,2.81,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,35,88,24,2003-03-01,0.03,,0,61,3.06,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,28,60,20,2003-03-02,0.034,,0,61,3.53,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,35,72,26,2003-03-03,0.031,,0,56,3.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,30,79,27,2003-03-04,0.027,,0,58,2.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,31,70,28,2003-03-05,0.028,6.2,0,62,3.79,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,35,67,26,2003-03-06,0.038,9.8,0,62,3.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,24,96,27,2003-03-07,0.039,,0,58,3.85,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,30,86,26,2003-03-08,0.029,6,0,60,3.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,25,71,27,2003-03-09,0.036,9,0,61,4.09,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,33,67,23,2003-03-10,0.026,8,0,65,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,33,80,23,2003-03-11,0.022,3.4,0,63,4.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,39,84,35,2003-03-12,0.018,,0,64,4.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,39,79,29,2003-03-13,0.028,2.7,0,63,4.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,28,86,28,2003-03-14,0.033,4.6,0.4,66,3.73,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,39,90,27,2003-03-15,0.042,6.3,0.35,61,2.95,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,29,76,33,2003-03-16,0.039,4.8,0.11,59,3.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,25,70,24,2003-03-17,0.035,4.3,0,59,3.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,38,67,24,2003-03-18,0.031,6.1,0,61,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,31,64,19,2003-03-19,0.036,5.8,0.08,62,4.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,54,80,19,2003-03-20,0.036,5.9,0,60,3.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,31,82,34,2003-03-21,0.035,7.6,0,62,4.74,0,1,0,0,0,0,0,0,0,0,1,0,0,0
