Dog_bites,date,average_Daily_max_oz,Average pm,PRCP,TMAX,UVI,holidays,fri,sat,sun,NYC,Luisville,Baton,Houston,LA,Baltimore,Austin,Chicago
1,2014-01-01,0.032,19.35,0,64,,1,0,0,0,0,0,0,0,0,0,1,0
0,2014-01-02,0.026,4.75,0,53,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-01-03,0.032,5.3,0,56,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-01-04,0.039,5.6,0,71,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-01-05,0.035,3.1,0,58,,0,0,0,1,0,0,0,0,0,0,1,0
1,2014-01-06,0.032,4.45,0,34,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-01-07,0.033,4.25,0,46,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-01-08,0.011,5.35,0.19,53,,0,0,0,0,0,0,0,0,0,0,1,0
0,2014-01-09,0.027,7.3,0,69,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-01-10,0.026,5,0.22,71,,0,1,0,0,0,0,0,0,0,0,1,0
6,2014-01-11,0.04,7.866666667,0,73,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-01-12,0.037,7.75,0,67,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-01-13,0.037,4.05,0,69,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-01-14,0.04,3.1,0,74,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-01-15,0.035,2.8,0,63,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-01-16,0.043,4.7,0,70,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-01-17,0.031,8.733333333,0,62,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-01-18,0.044,12.2,0,69,,0,0,1,0,0,0,0,0,0,0,1,0
3,2014-01-19,0.036,7.7,0,69,,0,0,0,1,0,0,0,0,0,0,1,0
0,2014-01-20,0.045,7.4,0,79,,1,0,0,0,0,0,0,0,0,0,1,0
2,2014-01-21,0.037,4.1,0,62,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-01-22,0.038,5.95,0,68,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-01-23,0.026,5.933333333,0.06,50,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-01-24,0.029,3.85,0.05,37,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-01-25,0.032,7.9,0,68,,0,0,1,0,0,0,0,0,0,0,1,0
7,2014-01-26,0.046,11.05,0,73,,0,0,0,1,0,0,0,0,0,0,1,0
5,2014-01-27,0.031,5.05,0.01,52,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-01-28,0.028,3.8,0.04,37,,0,0,0,0,0,0,0,0,0,0,1,0
0,2014-01-29,0.032,3.5,0,47,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-01-30,0.035,5.7,0,65,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-01-31,0.039,5.3,0,78,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-02-01,0.032,6.85,0,74,,0,0,1,0,0,0,0,0,0,0,1,0
4,2014-02-02,0.026,6.45,0.06,54,,0,0,0,1,0,0,0,0,0,0,1,0
1,2014-02-03,0.022,8.7,0,45,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-02-04,0.021,5.6,0.15,64,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-02-05,0.032,5.25,0,44,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-02-06,0.027,3.9,0,31,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-02-07,0.015,9.95,0,36,,0,1,0,0,0,0,0,0,0,0,1,0
6,2014-02-08,0.023,12.55,0,61,,0,0,1,0,0,0,0,0,0,0,1,0
4,2014-02-09,0.033,9.4,0,72,,0,0,0,1,0,0,0,0,0,0,1,0
1,2014-02-10,0.016,9.433333333,0,58,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-02-11,0.023,8.25,0.02,36,,0,0,0,0,0,0,0,0,0,0,1,0
0,2014-02-12,0.034,4.8,0,55,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-02-13,0.04,5.85,0,67,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-02-14,0.046,4.7,0,84,,0,1,0,0,0,0,0,0,0,0,1,0
5,2014-02-15,0.053,5.8,0,74,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-02-16,0.037,14,0,74,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-02-17,0.044,10.25,0,79,,1,0,0,0,0,0,0,0,0,0,1,0
3,2014-02-18,0.036,11.8,0,80,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-02-19,0.032,10.9,0,81,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-02-20,0.041,8,0,82,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-02-21,0.044,3.05,0,69,,0,1,0,0,0,0,0,0,0,0,1,0
1,2014-02-22,0.046,9.8,0,74,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-02-23,0.045,9.55,0,84,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-02-24,0.036,15.95,0,74,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-02-25,0.021,8.55,0.02,69,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-02-26,0.024,6.6,0.27,51,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-02-27,0.036,4.95,0,56,,0,0,0,0,0,0,0,0,0,0,1,0
9,2014-02-28,0.039,10.3,0,76,,0,1,0,0,0,0,0,0,0,0,1,0
8,2014-03-01,0.032,11.6,0.01,80,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-03-02,0.027,5.05,0.1,72,,0,0,0,1,0,0,0,0,0,0,1,0
2,2014-03-03,,3.45,0.15,45,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-03-04,,5.65,0.3,47,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-03-05,0.023,10.7,0,56,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-03-06,0.04,10.86666667,0,64,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-03-07,0.054,9.65,0,66,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-03-08,0.025,11.5,0.58,59,,0,0,1,0,0,0,0,0,0,0,1,0
6,2014-03-09,0.034,7.1,0,57,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-03-10,0.041,4.8,0,73,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-03-11,0.043,4,0,79,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-03-12,0.047,3.733333333,0,67,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-03-13,0.051,5.45,0,66,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-03-14,0.047,8.65,0,74,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-03-15,0.034,8.85,0.05,76,,0,0,1,0,0,0,0,0,0,0,1,0
7,2014-03-16,0.04,4.55,0,65,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-03-17,0.044,2.35,0,67,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-03-18,0.055,8.366666667,0,82,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-03-19,0.044,9.95,0,70,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-03-20,0.054,8.15,0,75,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-03-21,0.048,11.6,0,81,,0,1,0,0,0,0,0,0,0,0,1,0
1,2014-03-22,0.032,10.6,0,77,,0,0,1,0,0,0,0,0,0,0,1,0
4,2014-03-23,0.035,6.85,0,61,,0,0,0,1,0,0,0,0,0,0,1,0
2,2014-03-24,0.043,10.26666667,0,65,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-03-25,0.052,9.8,0,68,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-03-26,0.047,8.8,0,68,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-03-27,0.036,9.3,0,80,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-03-28,0.041,8.8,0,90,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-03-29,0.052,4.85,0,77,,0,0,1,0,0,0,0,0,0,0,1,0
4,2014-03-30,0.051,6.4,0,79,,0,0,0,1,0,0,0,0,0,0,1,0
7,2014-03-31,0.05,7.55,0,84,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-04-01,0.037,12.1,0,87,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-04-02,0.023,12.5,0,83,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-04-03,0.034,17.35,0,83,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-04-04,0.048,3.75,0,74,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-04-05,0.04,5.5,0,65,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-04-06,0.033,4.55,0.01,61,,0,0,0,1,0,0,0,0,0,0,1,0
5,2014-04-07,0.047,3.9,0.43,72,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-04-08,0.049,4.55,0,76,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-04-09,0.06,9.3,0,83,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-04-10,0.052,6.55,0,86,,0,0,0,0,0,0,0,0,0,0,1,0
